Type,ISA,B,speedup,N,Device
f16,NEON,8,5.926812104152005,4096,m1pro.csv
f32,NEON,8,20.939584524490186,33554432,m1pro.csv
f64,NEON,4,13.371459227467811,33554432,m1pro.csv
i16,NEON,8,5.084922010398613,64,m1pro.csv
i32,NEON,8,24.847257220391548,33554432,m1pro.csv
i64,NEON,4,12.210853220006538,16777216,m1pro.csv
i8,NEON,32,5.19693094629156,32,m1pro.csv
u16,NEON,8,5.084922010398613,64,m1pro.csv
u32,NEON,8,23.72403619197482,33554432,m1pro.csv
u64,NEON,4,11.511635388739947,33554432,m1pro.csv
u8,NEON,16,5.6607970342910106,128,m1pro.csv
